,bee,lecty,lifestyle,host.plant,source,min.day,max.day,med.day,n.day,n.obs,n.spec,phen,wmpd,n.lect,s.lect,cucurbit,sunflower,tomato
81,Coelioxys octodentata,poly,parasite,NA,,267,267,267,1,1,1,0,NA,1,1,0,0,0
82,Colletes consors,poly,solitary,NA,,126,126,126,1,1,1,0,NA,1,1,0,0,0
83,Colletes fulgidus,NA,NA,NA,,116,280,150.5,4,4,6,164,145,6,4,0,0,0
84,Colletes hyalinus,poly,solitary,NA,,132,132,132,1,1,1,0,NA,1,1,0,0,0
85,Diadasia bituberculata,olig,solitary,NA,,135,157,155.5,3,3,4,22,220,3,3,0,0,0
86,Diadasia consociata,olig,solitary,NA,,138,259,177.5,24,25,46,121,131,45,6,0,0,0
87,Diadasia enavata,olig,solitary,NA,,153,286,225.5,59,89,1272,133,19,1265,15,0,1,0
88,Diadasia nigrifrons,NA,NA,NA,,142,142,142,1,1,1,0,NA,1,1,0,0,0
89,Diadasia ochracea,NA,NA,NA,,141,236,196,12,12,37,95,158,37,10,0,0,0
90,Dianthidium parvum,NA,NA,NA,,196,196,196,1,1,1,0,NA,1,1,0,0,0
91,Dianthidium pudicum,NA,NA,NA,,136,227,171,5,8,20,91,157,4,4,0,0,0
92,Dianthidium ulkei,olig,solitary,NA,,172,217,196,3,4,6,45,125,6,5,0,0,0
93,Dieunomia nevadensis,NA,NA,NA,,237,237,237,1,1,30,0,NA,30,1,0,0,0
94,Dioxys pomonae,NA,NA,NA,,91,153,112,4,4,5,62,130,5,3,0,0,0
95,Eucera actuosa,poly,solitary,NA,,77,165,112,59,114,529,88,129,510,32,0,0,0
96,Eucera amsinckiae,olig,solitary,NA,,55,126,89,19,27,56,71,20,56,4,0,0,0
97,Eucera delphinii,NA,NA,NA,,113,113,113,1,1,1,0,NA,1,1,0,0,0
98,Eucera dorsata,NA,NA,NA,,86,113,100,4,4,7,27,128,7,3,0,0,0
99,Eucera edwardsii,NA,NA,NA,,105,135,108,4,4,8,30,NA,NA,NA,0,0,0
100,Eucera frater,poly,solitary,NA,,86,157,104,27,51,117,71,61,115,14,0,0,0
101,Eucera lunata,poly,solitary,NA,,86,111,91,5,8,9,25,84,9,4,0,0,0
102,Eucera stretchii,poly,solitary,NA,,112,112,112,1,1,1,0,NA,1,1,0,0,0
103,Eucera virgata,poly,solitary,NA,,154,176,155.5,3,3,4,22,218,4,3,0,0,0
104,Habropoda depressa,NA,NA,NA,,89,113,104,9,16,46,24,131,46,9,0,0,0
105,Habropoda tristissima,poly,solitary,NA,,86,135,104,14,21,78,49,148,78,13,0,0,0
106,Halictus farinosus,poly,social,NA,,50,263,175,44,59,177,213,196,163,24,0,0,0
107,Halictus ligatus,poly,social,NA,,50,313,217,175,490,7858,263,54,6974,100,0,1,0
108,Halictus rubicundus,poly,social,NA,,105,171,120.5,3,3,4,66,NA,NA,NA,1,0,0
109,Halictus tripartitus,poly,social,NA,,50,280,176,176,671,7907,230,206,4846,148,0,0,0
110,Heriades occidentalis,poly,solitary,NA,,113,196,157,10,11,21,83,158,21,7,0,0,0
111,Hesperapis ilicifoliae,olig,solitary,NA,,133,133,133,1,1,7,0,NA,7,1,0,0,0
112,Hesperapis regularis,NA,NA,NA,,111,157,157,2,2,4,46,201,4,3,0,0,0
113,Hoplitis albifrons,poly,solitary,NA,,110,175,132,8,11,16,65,199,16,8,0,0,0
114,Hoplitis fulgida,poly,solitary,NA,,111,111,111,1,1,1,0,NA,1,1,0,0,0
115,Hoplitis grinnelli,poly,solitary,NA,,100,100,100,1,1,1,0,NA,1,1,0,0,0
116,Hoplitis howardi,olig,solitary,NA,,157,157,157,1,1,2,0,119,2,2,0,0,0
117,Hoplitis hypocrita,poly,solitary,NA,,90,157,117,9,11,18,67,71,18,6,0,0,0
118,Hoplitis producta,poly,solitary,NA,,82,189,135,30,47,142,107,164,72,23,0,0,0
119,Hoplitis sambuci,poly,solitary,NA,,112,176,157,6,8,15,64,184,15,8,0,0,0
120,Hylaeus calvus,poly,solitary,NA,,91,210,111,7,7,14,119,109,14,6,0,0,0
121,Hylaeus conspicuus,NA,NA,NA,,154,209,195,3,3,4,55,148,4,3,0,0,0
122,Hylaeus episcopalis,NA,NA,NA,,100,228,189,19,33,185,128,186,89,15,0,0,0
123,Hylaeus leptocephalus,olig,solitary,Fabaceae,,108,280,153,4,4,5,172,2,5,2,0,0,0
124,Hylaeus mesillae,poly,solitary,NA,,71,285,189,109,162,610,214,193,490,65,0,0,0
125,Hylaeus nevadensis,NA,NA,NA,,196,196,196,1,1,1,0,NA,1,1,0,0,0
126,Hylaeus rudbeckiae,poly,solitary,NA,,113,220,197,25,32,74,107,175,74,17,0,0,0
127,Hylaeus verticalis,poly,solitary,NA,,100,156,110.5,7,10,12,56,190,12,8,0,0,0
128,Lasioglossum avalonense,NA,NA,NA,,39,109,77,3,3,3,70,122,3,2,0,0,0
129,Lasioglossum diversopunctatum,NA,NA,NA,,39,280,164,80,118,467,241,171,466,37,0,0,0
130,Lasioglossum imbrex,NA,NA,NA,,129,274,216,20,21,59,145,183,59,11,0,0,0
131,Lasioglossum impavidum,NA,NA,NA,,68,203,85.5,5,6,8,135,134,8,3,1,0,0
132,Lasioglossum incompletum,poly,social,NA,,68,293,198,173,693,7791,225,188,6887,157,0,0,0
133,Lasioglossum kincaidii,poly,social,NA,,105,258,171,19,29,46,153,181,19,8,0,0,0
134,Lasioglossum knereri,NA,NA,NA,,132,132,132,1,1,1,0,NA,1,1,0,0,0
135,Lasioglossum megastictum,NA,NA,NA,,210,210,210,1,1,1,0,NA,1,1,0,0,0
136,Lasioglossum mellipes,poly,solitary,NA,,82,210,135,23,31,83,128,200,34,15,0,0,0
137,Lasioglossum nevadense,NA,NA,NA,,94,94,94,1,1,1,0,NA,1,1,0,0,0
138,Lasioglossum olympiae,NA,NA,NA,,116,116,116,1,1,1,0,NA,1,1,0,0,0
139,Lasioglossum perparvum,NA,NA,NA,,75,119,92,5,5,7,44,91,7,4,0,0,0
140,Lasioglossum punctatoventre,NA,NA,NA,,77,139,119,13,14,114,62,194,114,17,0,0,0
141,Lasioglossum sisymbrii,NA,NA,NA,,103,152,133,11,12,15,49,114,15,4,0,0,0
142,Lasioglossum tegulariforme,poly,social,NA,,77,269,186,110,260,603,192,207,528,60,0,0,0
143,Lasioglossum titusi,poly,solitary,NA,,50,283,187,38,48,65,233,147,57,14,0,0,0
144,Leiopodus singularis,NA,NA,NA,,196,211,203.5,2,2,2,15,119,2,2,0,0,0
145,Megachile angelarum,poly,solitary,NA,,134,264,171.5,34,48,104,130,152,99,26,0,0,0
146,Megachile apicalis,olig,solitary,Asteraceae,,130,267,198,78,148,443,137,78,405,37,0,0,0
147,Megachile brevis,poly,solitary,NA,,98,285,229,58,65,133,187,162,129,16,0,0,0
148,Megachile chilopsidis,NA,NA,NA,,143,143,143,1,1,1,0,NA,1,1,0,0,0
149,Megachile concinna,poly,solitary,NA,,178,206,196,3,3,3,28,153,3,3,0,0,0
150,Megachile coquilletti,poly,solitary,NA,,115,237,177,26,40,57,122,187,56,26,0,0,0
151,Megachile fidelis,NA,NA,NA,,143,227,188,25,32,86,84,96,83,11,0,0,0
152,Megachile frugalis,poly,solitary,NA,,157,212,181,6,9,20,55,153,20,7,0,0,0
153,Megachile gentilis,poly,solitary,NA,,117,225,171,30,34,51,108,193,50,18,0,0,0
154,Megachile montivaga,poly,solitary,NA,,135,228,188,8,11,11,93,97,4,4,0,0,0
155,Megachile onobrychidis,poly,solitary,NA,,140,274,188,33,41,52,134,177,48,19,0,0,0
156,Megachile parallela,poly,solitary,NA,,154,269,210,36,39,47,115,29,46,4,0,0,0
157,Megachile prosopidis,NA,NA,NA,,153,263,234,4,4,4,110,141,4,3,0,0,0
158,Megachile rotundata,olig,solitary,NA,,118,244,165,32,38,63,126,194,63,28,0,0,0
159,Megachile texana,poly,solitary,NA,,153,153,153,1,1,1,0,NA,1,1,0,0,0
160,Melecta edwardsii,NA,parasite,NA,,100,113,110,3,3,3,13,106,3,2,0,0,0
161,Melecta separata,NA,NA,NA,,110,110,110,1,1,1,0,NA,1,1,0,0,0
162,Melissodes agilis,olig,solitary,Asteraceae,,131,277,179,77,139,974,146,80,961,22,0,1,0
163,Melissodes communis,NA,NA,NA,,143,228,172,9,11,47,85,104,4,3,0,0,0
164,Melissodes lupinus,NA,NA,NA,,131,285,213,108,213,1861,154,50,1795,42,0,0,0
165,Melissodes microstictus,NA,NA,NA,,204,204,204,1,1,1,0,NA,1,1,0,0,0
166,Melissodes robustior,olig,solitary,NA,,91,280,201,74,105,334,189,55,327,21,0,0,0
