vendor.lot.no,pref.vendor,test.seeds.per.sf,live.seed.per.lb,price_kw14,code,peak,sprawl,lower,upper,genus,species,subspecies,gen_sp,family,flower_type,peak.ol,flower.area,author,Wild.bees,SE.wb,Honey.bees,SE.hb,Herbivores,SE.herb,Predators,SE.pred,Parasitic.wasps,SE.wasp,Common.name,A.P
3083-30,Pacific Coast Seed,80,779498,36,gilcap,181,67,115,248,Gilia,capitata,,Gilia capitata,Polemoniaceae,Actinomorphic,23.5,3.22,Sims,0.05,0.11,0.91,0.17,0.87,0.2,1.15,0.13,0.12,0.13,Bluehead gilia,A
ASCFAS WINF15-14,Hedgerow Farms,10,54328,240,ascfas,187,53,134,241,Asclepias,fascicularis,,Asclepias fascicularis,Apocynaceae,Actinomorphic,26,1.83,Dcne.,-0.24,0.11,0.32,0.17,1.7,0.2,0.61,0.13,0.01,0.13,Narrowleaf milkweed,P
Lupfr NapaMFA-14,Hedgerow Farms,1.5,6964,240,lupfor,194,90,104,284,Lupinus,formosus,,Lupinus formosus,Fabaceae,Zygomorphic,24.5,1.25,E. Greene,-0.23,0.11,-0.3,0.17,0.46,0.2,0.47,0.13,0.02,0.13,Summer lupine,P
0,S&S,40,364749,120,sphamb,203,140,63,343,Sphaeralcea,ambigua,,Sphaeralcea ambigua,Malvaceae,Actinomorphic,20,2.77,A. Gray,0.06,0.1,0.69,0.15,1.14,0.18,1.01,0.12,0.67,0.12,Desert mallow,P
0,S&S,20,80000,36,helann,221,126,95,347,Helianthus,annuus,,Helianthus annuus,Asteraceae,Composite,31.5,3.85,L.,0.16,0.11,0.52,0.17,1.14,0.2,0.71,0.13,0.29,0.13,Common sunflower, Ac
0,S&S,20,73334,180,malsax,226,110,116,337,Malacothrix,saxatilis,,Malacothrix saxatilis,Asteraceae,Composite,26,2.24,(Nutt.) Torr. & A. Gray,-0.13,0.12,0.37,0.18,0.56,0.21,0.32,0.14,0.05,0.14,Cliff aster,P
Helbol WinF2-13,Hedgerow Farms,10,123885,95,helbol,227,94,134,321,Helianthus,bolanderi,,Helianthus bolanderi,Asteraceae,Composite,32.5,3.86,A. Gray,0.41,0.12,0.51,0.18,1.34,0.21,1.11,0.14,0.7,0.14,Bolander's sunflower,A/P
Trilance Yol F10-12,Hedgerow Farms,120,167011,75,trilan,231,91,140,321,Trichostema,lanceolatum,,Trichostema lanceolatum,Lamiaceae,Zygomorphic,33,2.74,Benth.,0.63,0.11,-0.16,0.17,1.35,0.2,0.89,0.13,0.29,0.13,Vinegarweed,A
Helcal MdiF3-13,Hedgerow Farms,99,82421,,helcal,233,72,160,305,Helianthus,californicus,,Helianthus californicus,Asteraceae,Composite,30.5,2.32,DC.,-0.12,0.1,-0.34,0.15,0.05,0.18,-0.02,0.12,-0.16,0.12,California sunflower,P
Gricam Yby Mf-08,Hedgerow farms,30,169104,12,gricam,235,108,127,343,Grindelia,camporum,,Grindelia camporum,Asteraceae,Composite,27.5,2.94,E. Greene,0.7,0.11,0.26,0.17,1.35,0.2,1.12,0.13,0.66,0.13,Great Valley gumplant,P
Oeneleahi SwrF5-11,Hedgerow Farms,100,1115106,60,oenela,235,93,143,328,Oenothera,elata,,Oenothera elata,Onagraceae,Actinomorphic,29.2,3.22,Kunth,-0.31,0.17,0.13,0.25,0.87,0.3,0.19,0.19,-0.02,0.19,Evening primrose,P
CR4124,Pacific Coast Seed,10,382641,72,hetgra,262,135,128,365,Heterotheca,grandiflora,,Heterotheca grandiflora,Asteraceae,Composite,39.5,2.63,Nutt.,0.23,0.11,0.08,0.17,1.45,0.2,0.23,0.13,0.01,0.13,Telegraph weed,A/P
